year,consultant,candidate,statename,cd,FailedToFind,ReasonNotFound,Found in Flagged List,Found in Cleaned List,Found in Full List,Cleaning term responsible for drop,,,,,,
2004,MURPHY PUTNAM MEDIA,PAUL BABBITT,Arizona,1,,,,,,,,,,,,
2004,PUBLIC OPINION STRATEGIES,PAUL GILLMOR,Ohio,5,,,,,,,,,,,,
2004,GLOBAL STRATEGY GROUP,PAUL HODES,New Hampshire,2,,,,,,,,,,,,
2004,GROVE INSIGHT,PETER DEFAZIO,Oregon,4,,,,,,,,,,,,
2004,BOB MEADOWS,RICHARD ROMERO,New Mexico,1,,4,0,0,0,,,,,,,
2004,"LAGUENS, HAMBURGER, STONE",RICHARD ROMERO,New Mexico,1,,,,,,,,,,,,
2004,JAMESTOWN ASSOCIATES,RICK RENZI,Arizona,1,,,,,,,,,,,,
2004,PUBLIC OPINION STRATEGIES,RICK RENZI,Arizona,1,,,,,,,,,,,,
2004,LAUER RESEARCH,ROSA DELAURO,Connecticut,3,,,,,,,,,,,,
2004,BATESNEIMAND,RUSS CARNAHAN,Missouri,3,1,1,0,0,1,Mailing,,,,,,
2004,GARIN HART YANG RESEARCH GROUP,RUSS CARNAHAN,Missouri,3,,,,,,,,,,,,
2004,MURPHY PUTNAM MEDIA,RUSS CARNAHAN,Missouri,3,,,,,,,,,,,,
2004,MAIN STREET COMMUNICATIONS,SANFORD BISHOP,Georgia,2,,4,0,0,0,,,,,,,
2004,COLE HARGRAVE SNODGRASS & ASSOCIATES,SCOTT GARRETT,New Jersey,5,,,,,,,,,,,,
2004,PUBLIC OPINION STRATEGIES,SCOTT GARRETT,New Jersey,5,,,,,,,,,,,,
2004,MCLAUGHLIN & ASSOCIATES,SCOTT PATERNO,Pennsylvania,17,,,,,,,,,,,,
2004,STEVENS & SCHRIEFER,SCOTT PATERNO,Pennsylvania,17,,,,,,,,,,,,
2004,MARSH COPSEY AND SCOTT,SHELLEY MOORE CAPITO,West Virginia,2,,,,,,,,,,,,
2004,PUBLIC OPINION STRATEGIES,SHELLEY MOORE CAPITO,West Virginia,2,,,,,,,,,,,,
2004,MURPHY PUTNAM MEDIA,STEPHANIE HERSETH,South Dakota,1,,,,,,,,,,,,
2004,THE FELDMAN GROUP INC.,STEPHANIE HERSETH,South Dakota,1,,,,,,,,,,,,
2004,STRATEGY GROUP FOR MEDIA,STEVE CHABOT,Ohio,1,1,2,1,,,,,,,,,
2004,THE FELDMAN GROUP INC.,TED STRICKLAND,Ohio,6,,4,0,0,0,,,,,,,
2004,PUBLIC OPINION STRATEGIES,TIM ESCOBAR,California,39,,6,1,,,"LLC, PUBLIC OPINION",HERMOSA  BEACH,CA,8500,757931,Tim Escobar for Congress,N00024926
2004,MCLAUGHLIN & ASSOCIATES,TODD TIAHRT,Kansas,4,,,,,,,,,,,,
2004,THE VICTORY GROUP,TODD TIAHRT,Kansas,4,,,,,,,,,,,,
2004,BENNETT PETTS & BLUMENTHAL,TOM ALLEN,Maine,1,,,,,,,,,,,,
2004,CMA STRATEGIES,TOM COLE,Oklahoma,4,,,,,,,,,,,,
2004,COLE HARGRAVE SNODGRASS & ASSOCIATES,TOM COLE,Oklahoma,4,,,,,,,,,,,,
2004,JKK & ASSOCIATES,TOM DAVIS,Virginia,11,,,,,,,,,,,,
2004,MCLAUGHLIN & ASSOCIATES,TOM DAVIS,Virginia,11,,,,,,,,,,,,
2004,STEVENS REED CURCIO & POTHOLM,TOM DAVIS,Virginia,11,,,,,,,,,,,,
2004,HAMILTON BEATTIE & STAFF,TONY MILLER,Kentucky,3,,,,,,,,,,,,
2004,MURPHY PUTNAM MEDIA,TONY MILLER,Kentucky,3,,,,,,,,,,,,
2004,PUBLIC OPINION STRATEGIES,TRENT FRANKS,Arizona,2,,,,,,,,,,,,
2004,ANZALONE LISZT RESEARCH,VIC SNYDER,Arkansas,2,,4,0,0,0,,,,,,,
2004,PASCHALL & ASSOCIATES,VIC SNYDER,Arkansas,2,1,1,0,0,1,Ads,,,,,,
2004,GREENER & HOOK,VIRGINIA JOHNSON,North Carolina,13,,,,,,,,,,,,
2004,PUBLIC OPINION STRATEGIES,VITO FOSSELLA,New York,13,,,,,,,,,,,,
2004,POUND FEINSTEIN & ASSOCIATES,WAYNE GILCHREST,Maryland,1,,4,0,0,0,,,,,,,
2004,SANDLER-INNOCENZI,WAYNE GILCHREST,Maryland,1,1,1,0,0,1,Ads,,,,,,
2006,FDD INC,ANDY HURST,Virginia,11,,4,0,0,0,,,,,,,
2006,MCCARTHY MARCUS HENNINGS,ANNE NORTHUP,Kentucky,3,,,,,,,,,,,,
2006,JOE SLADE WHITE AND CO,BETTY MCCOLLUM,Minnesota,4,,4,0,0,0,,,,,,,
2006,FENN COMMUNICATIONS,BETTY SUTTON,Ohio,13,,,,,,,,,,,,
2006,GREENBERG QUINLAN ROSNER RESEARCH,BETTY SUTTON,Ohio,13,,,,,,,,,,,,
2006,NATIOANL RESEARCH INC,BILL SALI,Idaho,1,1,7,1,,,,,,,,,
2006,ANZALONE LISZT,BILL WINTER,Colorado,6,,,,,,,,,,,,
2006,COOPER SECREST,BRIAN HIGGINS,New York,27,,,,,,,,,,,,
2006,FELDMAN GROUP,BRUCE BRALEY,Iowa,1,,,,,,,,,,,,
2006,MURPHY PUTNAM SHORR & PARTNERS,BRUCE BRALEY,Iowa,1,,,,,,,,,,,,
2006,MRG,CANDICE MILLER,Michigan,10,,,,,,,,,,,,
2006,CAPSOUTH,CATHERINE DAVIS,Georgia,4,,,,,,,,,,,,
2006,COOPER SECREST,CHARILE STUART,Florida,8,,,,,,,,,,,,
2006,"GRIFFIN, BODI& KRAUSE",CHARLIE BASS,New Hampshire,2,,,,,,,,,,,,
2006,SUTTER'S MILL,CHARLIE STUART,Florida,8,,,,,,,,,,,,
2006,"BENNETT, PETTS & BLUMENTHAL",CHET EDWARDS,Texas,17,,,,,,,,,,,,
2006,BLAEMIRE COMMUNICATIONS,CHET EDWARDS,Texas,17,,4,0,0,0,,,,,,,
2006,JOE SLADE WHITE AND CO,CHET EDWARDS,Texas,17,,,,,,,,,,,,
2006,MAXWELL & ASSOCIATES,CHRIS CANNON,Utah,3,,4,0,0,0,,,,,,,
2006,MOORE INFORMATION,CHRIS CANNON,Utah,3,,,,,,,,,,,,
2006,WILSON GRAND COMMUNICATIONS,CHRIS CANNON,Utah,3,,,,,,,,,,,,
2006,JULIAN MULVEY GROUP,CHRIS CARNEY,Pennsylvania,10,,,,,,,,,,,,
2006,MOMENTUM ANALYSIS,CHRIS CARNEY,Pennsylvania,10,,,,,,,,,,,,
2006,JAMESTOWN ASSOCIATES,CHRISTOPHER SHAYS,Connecticut,4,,,,,,,,,,,,
2006,NATIONAL RESEARCH INC,CHRISTOPHER SHAYS,Connecticut,4,,,,,,,,,,,,
2006,AXIOM STRATEGIES,CHUCK AHNER,Kansas,3,,,,,,,,,,,,
2006,PUBLIC OPINION STRATEGIES,CRAIG FOLTIN,Ohio,13,,,,,,,,,,,,
2006,STEVENS REED CURCIO & POTHOLM,CRAIG FOLTIN,Ohio,13,,4,0,0,0,,,,,,,
2006,BLAEMIRE COMMUNICATIONS,DANNY STOVER,Illinois,19,,4,0,0,0,,,,,,,
2006,JOHNSTON CONSULTING,DARLENE CURLEY,Maine,1,,,,,,,,,,,,
2006,"LAGUENS, HAMBURGER KULLY KLOSE",DAVID HUNTER,Oklahoma,5,,,,,,,,,,,,
2006,GOODWIN SIMON VICTORIA RESEARCH,DAVID LOEBSACK,Iowa,2,,,,,,,,,,,,
2006,ANTHEM MEDIA,DAVID MCSWEENEY,Illinois,8,1,2,1,,,,,,,,,
2006,TARRANCE GROUP,DAVID MCSWEENEY,Illinois,8,1,2,1,,,,,,,,,
2006,GROVE INSIGHT,DAVID WU,Oregon,1,,,,,,,,,,,,
2006,WEEKS AND CO,DEAN HELLER,Nevada,2,,,,,,,,,,,,
2006,SCHEINGOLD ASSOCIATES,DENNIS CARDOZA,California,18,,,,,,,,,,,,
2006,COOPER SECREST,DENNIS MOORE,Kansas,3,,,,,,,,,,,,
2006,"LAGUENS, HAMBURGER KULLY KLOSE",DENNIS MOORE,Kansas,3,,,,,,,,,,,,
2006,NEXT BIG THING,DENNIS MOORE,Kansas,3,1,1,0,0,1,phone,,,,,,
2006,MAXWELL & ASSOCIATES,DENNY REHBERG,Montana,1,,4,0,0,0,,,,,,,
2006,MOORE INFORMATION,DENNY REHBERG,Montana,1,,,,,,,,,,,,
2006,GREENBERG QUINLAN ROSNER RESEARCH,DIANE FARRELL,Connecticut,4,,,,,,,,,,,,
2006,MURPHY PUTNAM SHORR & PARTNERS,DIANE FARRELL,Connecticut,4,,,,,,,,,,,,
2006,ADELSTEIN LISTON,DICK AUMAN,Illinois,16,,,,,,,,,,,,
2006,MOORE INFORMATION,DOUG LAMBORN,Colorado,5,,,,,,,,,,,,
2006,SABER COMMUNICATIONS,DOUG LAMBORN,Colorado,5,,,,,,,,,,,,
2006,STRATEGY GROUP FOR MEDIA,DOUG LAMBORN,Colorado,5,,,,,,,,,,,,
2006,LAKE RESEARCH PARTNERS,ELLEN SIMON,Arizona,1,,,,,,,,,,,,
2006,THE CAMPAIGN GROUP,ELLEN SIMON,Arizona,1,,,,,,,,,,,,
2006,JOE SLADE WHITE AND CO,ELLEN TAUSCHER,California,10,,4,0,0,0,,,,,,,
2006,HILL RESEARCH CONSULTANTS,FRED UPTON,Michigan,6,,,,,,,,,,,,
2006,ALLAN B CROW & ASSOCIATES,HANK JOHNSON,Georgia,4,,,,,,,,,,,,
2006,LAKE RESEARCH PARTNERS,HANK JOHNSON,Georgia,4,,,,,,,,,,,,
2006,DAWSON MCCARTHY NELSON,HEATHER WILSON,New Mexico,1,,,,,,,,,,,,
2006,BASELICE AND ASSOCIATES,HENRY BONILLA,Texas,23,,,,,,,,,,,,
2006,HILL RESEARCH CONSULTANTS,HENRY BONILLA,Texas,23,,,,,,,,,,,,
2006,FLETCHER ROWLEY CHAO RIDDLE,JAY FAWCETT,Colorado,5,,,,,,,,,,,,
2006,WARHORSE CONSULTING,JAY FAWCETT,Colorado,5,,4,0,0,0,,,,,,,
2006,WHITMAN INSIGHT STRATEGIES,JAY FAWCETT,Colorado,5,,,,,,,,,,,,
2006,SCOTT COTTINGTON,JEFF FORTENBERRY,Nebraska,1,,,,,,,,,,,,
2006,GMMB,JILL DERBY,Nevada,2,,,,,,,,,,,,
2006,ALL POINTS COMMUNICATION,JIM LANGEVIN,Rhode Island,2,,,,,,,,,,,,
2006,LAKE RESEARCH PARTNERS,JIM MARCINKOWKSI,Michigan,8,,,,,,,,,,,,
2006,"BENNETT, PETTS & BLUMENTHAL",JIM MATHESON,Utah,2,,,,,,,,,,,,
2006,BLAEMIRE COMMUNICATIONS,JIM MATHESON,Utah,2,,4,0,0,0,,,,,,,
2006,FDD INC,JIM NACHMAN,Virginia,7,,4,0,0,0,,,,,,,
2006,DUBLIN GROUP,JIM RYUN,Kansas,2,,4,0,0,1,Some fundraiser,,,,,,
2006,"BENNETT, PETTS & BLUMENTHAL",JOE COURTNEY,Connecticut,2,,,,,,,,,,,,
2006,DIXON/DAVIS MEDIA GROUP,JOE COURTNEY,Connecticut,2,,,,,,,,,,,,
2006,"AYRES, MCHENRY & ASSOCIATES",JOE WILSON,South Carolina,2,,4,0,0,0,,,,,,,
2006,ABACUS ASSOCIATES,JOHN HALL,New York,19,,,,,,,,,,,,
2006,NEXT BIG THING,JOHN HALL,New York,19,,,,,,,,,,,,
2006,TRIPPI AND ASSOCIATES,JOHN HALL,New York,19,,,,,,,,,,,,
2006,SPINNOVATION STRATEGIES,JOHN KANNO,California,18,,,,,,,,,,,,
2006,GLOBAL STRATEGY GROUP,JOHN SARBANES,Maryland,3,,,,,,,,,,,,
2006,MOORE INFORMATION,JOHN WHITE,Maryland,3,,,,,,,,,,,,
2006,COOPER SECREST,JOHN YARMUTH,Kentucky,3,,,,,,,,,,,,
2006,WEEKS AND CO,JON PORTER,Nevada,3,,,,,,,,,,,,
2006,MURPHY PUTNAM SHORR & PARTNERS,KEN LUCAS,Kentucky,4,,,,,,,,,,,,
2006,SUTTER'S MILL,KEN LUCAS,Kentucky,4,,,,,,,,,,,,
2006,EPPSTEIN GROUP,KENNY MARCHANT,Texas,24,,,,,,,,,,,,
2006,BILL HOGAN,KEVIN WHITE,Illinois,5,,4,0,0,0,,,,,,,
2006,LAKE RESEARCH PARTNERS,LARRY GRANT,Idaho,1,,,,,,,,,,,,
2006,THE CAMPAIGN GROUP,LORETTA SANCHEZ,California,47,,,,,,,,,,,,
2006,GMMB,MARK UDALL,Colorado,2,,4,0,0,0,,,,,,,
2006,TARRANCE GROUP,MARY FALLIN,Oklahoma,5,,,,,,,,,,,,
2006,THE FARWELL GROUP,MARY FALLIN,Oklahoma,5,,,,,,,,,,,,
2006,BENENSON STRATEGY GROUP,MARY JO KILROY,Ohio,15,,,,,,,,,,,,
2006,FLETCHER ROWLEY CHAO RIDDLE,MARY JO KILROY,Ohio,15,,,,,,,,,,,,
2006,MOMENTUM ANALYSIS,MAXINE MOUL,Nebraska,1,,,,,,,,,,,,
2006,ADELSTEIN LISTON,MAZIE HIRONO,Hawaii,2,,,,,,,,,,,,
2006,ADELSTEIN LISTON,MELISSA BEAN,Illinois,8,,,,,,,,,,,,
2006,"BENNETT, PETTS & BLUMENTHAL",MELISSA BEAN,Illinois,8,,,,,,,,,,,,
2006,BLAEMIRE COMMUNICATIONS,MELISSA BEAN,Illinois,8,,,,,,,,,,,,
2006,WARHORSE CONSULTING,MELISSA BEAN,Illinois,8,,4,0,0,0,,,,,,,
2006,GREENER AND HOOK,MICHELE BACHMANN,Minnesota,6,,,,,,,,,,,,
2006,ALL POINTS COMMUNICATION,MIKE MICHAUD,Maine,2,,,,,,,,,,,,
2006,"BENNETT, PETTS & BLUMENTHAL",MIKE MICHAUD,Maine,2,,,,,,,,,,,,
2006,BLAEMIRE COMMUNICATIONS,MIKE ROSS,Arkansas,4,,4,0,0,1,Only expenditure was for a database,,,,,,
2006,COOPER SECREST,MIKE ROSS,Arkansas,4,,,,,,,,,,,,
2006,MOORE INFORMATION,MIKE SIMPSON,Idaho,2,,4,0,0,0,,,,,,,
2006,HAMILTON BEATTLE & STAFF,MIKE WEAVER,Kentucky,2,,,,,,,,,,,,
2006,JAMESTOWN ASSOCIATES,MIKE WHALEN,Iowa,1,,,,,,,,,,,,
2006,ADELSTEIN LISTON,MONICA LINDEEN,Montana,1,0,2,0,0,0,,,,,,,
2006,NEXT BIG THING,NANCY BOYDA,Kansas,2,,4,0,0,0,,,,,,,
2006,BLAEMIRE COMMUNICATIONS,NITA LOWEY,New York,18,,4,0,0,0,,,,,,,
2006,LAKE RESEARCH PARTNERS,PATRICIA MADRID,New Mexico,1,,,,,,,,,,,,
2006,MURPHY PUTNAM SHORR & PARTNERS,PATRICIA MADRID,New Mexico,1,,,,,,,,,,,,
2006,FENN COMMUNICATIONS,PATTY WETTERLING,Minnesota,6,,,,,,,,,,,,
2006,THE MELLMAN GROUP,PATTY WETTERLING,Minnesota,6,,,,,,,,,,,,
2006,WILSON GRAND COMMUNICATIONS,PAUL GILLMOR,Ohio,5,,,,,,,,,,,,
2006,ANZALONE LISZT,PAUL HODES,New Hampshire,2,,,,,,,,,,,,
2006,MICHAEL P SHEA & ASSOCIATES,PAUL HODES,New Hampshire,2,,,,,,,,,,,,
2006,TOM KING COMMUNICATIONS,PAUL HODES,New Hampshire,2,,,,,,,,,,,,
2006,DAWSON MCCARTHY NELSON,PETER ROSKAM,Illinois,6,,,,,,,,,,,,
2006,PUBLIC OPINION STRATEGIES,PETER ROSKAM,Illinois,6,,,,,,,,,,,,
2006,FELDMAN GROUP,PETER WELCH,Vermont,1,,,,,,,,,,,,
2006,"LAGUENS, HAMBURGER KULLY KLOSE",PETER WELCH,Vermont,1,,,,,,,,,,,,
2006,ANTHEM MEDIA,RALPH NORMAN,South Carolina,5,,,,,,,,,,,,
2006,PUBLIC OPINION STRATEGIES,RALPH NORMAN,South Carolina,5,,,,,,,,,,,,
2006,STRATEGIC PERCEPTION,RIC KELLER,Florida,8,,,,,,,,,,,,
2006,AMERICAN VIEWPOINT,RICHARD BAKER,Louisiana,6,,4,0,0,0,,,,,,,
2006,PUBLIC OPINION STRATEGIES,ROB SIMMONS,Connecticut,2,,,,,,,,,,,,
2006,WILSON GRAND COMMUNICATIONS,ROB SIMMONS,Connecticut,2,,,,,,,,,,,,
2006,ALIEN MEDIA,ROY BLUNT,Missouri,7,,,,,,,,,,,,
2006,AMERICAN VIEWPOINT,ROY BLUNT,Missouri,7,,,,,,,,,,,,
2006,THOMPSON CREATIVE LLC,ROY BLUNT,Missouri,7,,,,,,,,,,,,
2006,MESSAGE & MEDIA,RUSH HOLT,New Jersey,12,,,,,,,,,,,,
2006,"LAGUENS, HAMBURGER KULLY KLOSE",RUSS CARNAHAN,Missouri,3,,,,,,,,,,,,
2006,LAKE RESEARCH PARTNERS,RUSS CARNAHAN,Missouri,3,,,,,,,,,,,,
2006,MOMENTUM ANALYSIS,SELDOEN SPENCER,Iowa,4,,,,,,,,,,,,
2006,"MCWILLIAMS, ROBINSON & PARTNERS",STENY HOYER,Maryland,5,,4,0,0,0,,,,,,,
2006,FELDMAN GROUP,STEPHANIE HERSETH SANDLIN,South Dakota,1,,,,,,,,,,,,
2006,AKP MESSAGE AND MEDIA,TAMMY DUCKWORTH,Illinois,6,,,,,,,,,,,,
2006,"BENNETT, PETTS & BLUMENTHAL",TAMMY DUCKWORTH,Illinois,6,,,,,,,,,,,,
2006,JULIAN MULVEY GROUP,TESSA HAFEN,Nevada,3,,,,,,,,,,,,
2006,MOMENTUM ANALYSIS,TESSA HAFEN,Nevada,3,,,,,,,,,,,,
2006,"BENNETT, PETTS & BLUMENTHAL",TOM ALLEN,Maine,1,,4,0,0,0,,,,,,,
2006,CPC CORPORATION,TOM DAVIS,Virginia,11,1,1,0,0,1,phone,,,,,,
2006,MCCARTHY MARCUS HENNINGS,TOM LATHAM,Iowa,4,,,,,,,,,,,,
2006,ANTHEM MEDIA,VAN TAYLOR,Texas,17,,,,,,,,,,,,
2006,PUBLIC OPINION STRATEGIES,VAN TAYLOR,Texas,17,,,,,,,,,,,,
2006,ANZALONE LISZT,VIC SNYDER,Arkansas,2,,4,0,0,0,,,,,,,
2006,PASCHALL STRATEGIC COMMUNICATIONS,VIC SNYDER,Arkansas,2,,,,,,,,,,,,
2006,MOMENTUM ANALYSIS,VICTORIA WULSIN,Ohio,2,,,,,,,,,,,,
